Date,Symbols,Close,High,Low,Open,Volume
2020-04-20,GOOGL,63.0575,63.841,62.822,63.4945,35292160.0
2020-04-20,PFE,32.6394,33.3897,32.6394,32.9115,23629502.34362
2020-04-20,BNTX,42.958,45.464,40.6105,41.0959,1291022.4743836
2020-04-20,MRNA,51.69,54.95,44.51,45.0,34102467.0
2020-04-21,GOOGL,60.608,62.5,60.25,62.1355,49648080.0
2020-04-21,PFE,32.2235,32.5026,31.9981,32.369,25144684.205286
2020-04-21,BNTX,41.8586,45.464,39.4219,44.84,1521723.916658
2020-04-21,MRNA,49.26,56.38,43.11,53.0,39641959.0
2020-04-22,GOOGL,62.9205,63.994,61.86,62.0555,46315840.0
2020-04-22,PFE,32.7935,33.4718,32.6764,33.4366,21170688.687905
2020-04-22,BNTX,52.9918,55.3195,44.7706,53.9229,10975354.332012
2020-04-22,MRNA,51.2,51.82,49.06,50.61,11690439.0
2020-04-23,GOOGL,63.5585,64.4075,63.0265,63.287,34202440.0
2020-04-23,PFE,33.1907,33.8338,32.8199,32.8199,21169931.445368
2020-04-23,BNTX,49.525,57.4491,48.7525,57.4491,4312129.0875514
2020-04-23,MRNA,47.44,50.7,46.89,49.1,15152351.0
2020-04-24,GOOGL,63.83,63.8855,62.2,62.75,37440080.0
2020-04-24,PFE,33.8172,33.8592,33.2766,33.3264,18206128.213956
2020-04-24,BNTX,47.2964,51.0009,47.1478,50.7533,1849953.7853759
2020-04-24,MRNA,50.5,50.5,47.1416,47.15,11712457.0
2020-04-27,GOOGL,63.543,64.705,63.253,64.6,44186660.0
2020-04-27,PFE,34.676,34.8644,33.987,34.0055,24535087.567403
2020-04-27,BNTX,48.9307,49.7727,47.7025,48.4256,1194674.2588107
2020-04-27,MRNA,48.05,51.7,47.3,51.53,13744397.0
2020-04-28,GOOGL,61.6295,64.238,61.519,64.16,80700140.0
2020-04-28,PFE,34.2954,35.4801,33.8123,35.3269,37406394.967139
2020-04-28,BNTX,45.3947,48.5147,44.3744,48.1383,1525691.6058976
2020-04-28,MRNA,47.88,50.45,47.17,50.4,13067207.0
2020-04-29,GOOGL,67.109,68.0075,66.3365,67.25,108357760.0
2020-04-29,PFE,34.4857,34.8741,34.1148,34.7921,27811939.372552
2020-04-29,BNTX,48.7822,49.2279,45.6918,47.544,1783324.8746747
2020-04-29,MRNA,46.37,46.9497,45.01,46.6,11761966.0
2020-04-30,GOOGL,67.335,67.5,66.075,66.568,55842480.0
2020-04-30,PFE,34.7024,34.838,33.7977,34.3765,30887416.921607
2020-04-30,BNTX,47.029,48.7525,45.5829,48.7426,1044032.304834
2020-04-30,MRNA,45.99,48.37,45.82,46.78,7741871.0
2020-05-01,GOOGL,65.866,67.5715,65.483,66.2045,48871080.0
2020-05-01,PFE,34.0505,34.3217,33.8211,34.2407,23786109.117666
2020-05-01,BNTX,44.6815,46.5436,42.5915,45.563,882964.31350942
2020-05-01,MRNA,47.93,50.45,46.29,48.71,21701291.0
2020-05-04,GOOGL,66.145,66.2235,64.8005,65.4065,30806940.0
2020-05-04,PFE,34.0329,34.3042,33.8425,34.0154,20863810.76987
2020-05-04,BNTX,45.3451,47.019,43.9386,44.7706,792382.87680073
2020-05-04,MRNA,50.5,50.5,48.0,48.05,10460549.0
2020-05-05,GOOGL,67.451,68.5505,66.7515,66.875,39666360.0
2020-05-05,PFE,34.838,35.1542,34.6185,35.1093,25300574.724211
2020-05-05,BNTX,49.525,49.8965,47.2528,47.9502,2629769.2841475
2020-05-05,MRNA,49.34,50.96,47.23,50.48,11160180.0
2020-05-06,GOOGL,67.2715,68.4345,67.2565,67.9,31732580.0
2020-05-06,PFE,34.838,35.2908,34.838,35.2528,25220362.34822
2020-05-06,BNTX,47.3261,49.7231,47.0488,49.6637,898297.96851473
2020-05-06,MRNA,48.95,49.25,47.5201,48.45,6692345.0
2020-05-07,GOOGL,68.464,68.8,67.627,68.0655,30716380.0
2020-05-07,PFE,33.7674,35.1659,33.7049,35.0947,34835162.047468
2020-05-07,BNTX,48.8515,49.0298,47.8907,48.7921,824418.1814474
2020-05-07,MRNA,53.19,55.99,51.06,55.78,30942700.0
2020-05-08,GOOGL,69.217,69.832,68.6005,69.091,33329740.0
2020-05-08,PFE,34.0065,34.1519,33.8416,34.0339,20666076.196448
2020-05-08,BNTX,48.7723,49.4141,47.7497,48.693,704620.21575538
2020-05-08,MRNA,59.25,59.88,52.15,53.06,24135545.0
2020-05-11,GOOGL,70.1795,70.7765,68.775,68.8395,32717120.0
2020-05-11,PFE,34.8117,34.9112,33.9499,34.0339,26604940.878169
2020-05-11,BNTX,49.5052,50.3075,47.4584,49.1388,1905474.1757965
2020-05-11,MRNA,66.9,67.67,59.1401,59.6,34852044.0
2020-05-12,GOOGL,68.759,70.7165,68.7255,70.411,33917480.0
2020-05-12,PFE,34.1344,34.9385,34.1168,34.8282,20078294.086828
2020-05-12,BNTX,48.8614,51.6249,48.7326,49.9212,1928548.3583844
2020-05-12,MRNA,62.35,68.49,62.02,65.99,25934464.0
2020-05-13,GOOGL,67.4165,69.2665,66.4005,68.808,40368080.0
